subject_id,PROLIFIC_PID,source_study,game,Market,kw_dummy,market_x_kw,treatment_cell,trial_order,actual_allocation_kept,actual_share_sent,actual_reason,actual_reason_category,actual_reason_category_num,subject_effect_S,subject_effect_C,treatment_effect_S,treatment_effect_C,fitted_probability_M,fitted_probability_S,fitted_probability_C
control_kwlt::543e5938fdf99b73557f2136,543e5938fdf99b73557f2136,control_kwlt,kw,0,1,0,kw_control,2,6.0,0.5,It was fair,Moral,1,-0.08712357231065113,-0.047541318409937985,-0.2776441740850492,-0.018037771449128295,0.755733957623411,0.2178415199700071,0.02642452240658194
control_kwlt::543e5938fdf99b73557f2136,543e5938fdf99b73557f2136,control_kwlt,lt,0,0,0,lt_control,1,6.0,0.5,It felt the fairest,Moral,1,-0.08712357231065113,-0.047541318409937985,0.0,0.0,0.7143318164845439,0.26035325460692316,0.025314928908532954
control_kwlt::54f844c0fdf99b2bd032e149,54f844c0fdf99b2bd032e149,control_kwlt,kw,0,1,0,kw_control,1,6.0,0.5,"This is a windfall; neither of us has earned the money, so it is only fair that the funds be shared equally.",Moral,1,-0.15537712368909026,-0.09147248098719217,-0.2776441740850492,-0.018037771449128295,0.7660644515352661,0.2082742560346209,0.025661292430112913
control_kwlt::54f844c0fdf99b2bd032e149,54f844c0fdf99b2bd032e149,control_kwlt,lt,0,0,0,lt_control,2,6.0,0.5,"Again, the funds were allocated at random and/or as a windfall, so nobody is 'entitled' to anything. The only fair outcome is a fair outcome - everyone ends with the same amount.",Moral,1,-0.15537712368909026,-0.09147248098719217,0.0,0.0,0.7256361973889516,0.2497247940887009,0.02463900852234756
control_kwlt::55999e94fdf99b37246adab5,55999e94fdf99b37246adab5,control_kwlt,kw,0,1,0,kw_control,2,6.0,0.5,i feel bad they got nothing plus its not my money so half seems fair,Moral,1,-0.007237253851305399,-0.09688516547417071,-0.2776441740850492,-0.018037771449128295,0.7453117565378711,0.22991456050265519,0.024773682959473714
control_kwlt::55999e94fdf99b37246adab5,55999e94fdf99b37246adab5,control_kwlt,lt,0,0,0,lt_control,1,6.0,0.5,i didnt want them to miss out but i dont know them so didnt want to give more,Self-interest,3,-0.007237253851305399,-0.09688516547417071,0.0,0.0,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::55cf6a7b34e9060005e56ca2,55cf6a7b34e9060005e56ca2,control_kwlt,kw,0,1,0,kw_control,1,6.0,0.5,Sharing the amount seems fair,Moral,1,-0.10580483698852944,-0.028290965225515108,-0.2776441740850492,-0.018037771449128295,0.757943344937429,0.21503182860466824,0.027024826457902787
control_kwlt::55cf6a7b34e9060005e56ca2,55cf6a7b34e9060005e56ca2,control_kwlt,lt,0,0,0,lt_control,2,5.5,0.5416666666666667,Seemed fair,Moral,1,-0.10580483698852944,-0.028290965225515108,0.0,0.0,0.71685781417592,0.2572354226863671,0.02590676313771291
control_kwlt::55e9aa1c735c45001043fbb6,55e9aa1c735c45001043fbb6,control_kwlt,kw,0,1,0,kw_control,1,8.0,0.3333333333333333,I thought 4 is good not 50% but not too bad,Moral,1,-0.5678432444288124,-0.08009920776496143,-0.2776441740850492,-0.018037771449128295,0.8170685105942515,0.15509159949586437,0.02783988990988409
control_kwlt::55e9aa1c735c45001043fbb6,55e9aa1c735c45001043fbb6,control_kwlt,lt,0,0,0,lt_control,2,10.0,0.1666666666666666,We both have 6 now,Moral,1,-0.5678432444288124,-0.08009920776496143,0.0,0.0,0.7833122730206378,0.1896117981350145,0.027075928844347806
